Handedness,Player ID,Player Name,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,Release Extension (ft),VB (trajectory),HB (trajectory),VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Height,Weight
R,887109,Christian Wood,Sat Oct 07 2023 2:31:58 AM,1696645918,Cutter,NO,-2.83,44.73,76.72,1106.9,1103.5,99.7,11:18,0.5,-,14.76,15.79,14.8,-5.6,-4.4,0.95,4.73,1.63,-4.45,887109@1696645918,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:32:07 AM,1696645927,ChangeUp,YES,8.85,21.61,77.1,1966.7,1966.1,100,2:10,0.9,-,9.02,17.28,9,18.9,-3.52,-0.21,4.39,2.14,1.47,887109@1696645927,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:32:16 AM,1696645936,Slider,YES,-7.44,31.5,64.41,1862.2,747.8,40.2,10:04,0.7,-,5.01,-6.66,5,-8.7,-2.78,1.05,4.49,2.06,66.32,887109@1696645936,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:32:25 AM,1696645945,ChangeUp,YES,0.25,21.09,71.32,1516.3,1479.9,97.6,2:48,0.8,-,2.04,15.95,2,18.9,-4.32,0.45,4.2,2.09,-12.58,887109@1696645945,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:32:34 AM,1696645954,ChangeUp,NO,11.09,34.35,76.46,1932.6,1929.8,99.9,2:10,0.8,-,8.95,21.85,9,18.7,-3.75,0.69,4.48,2.18,3.12,887109@1696645954,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:32:45 AM,1696645965,ChangeUp,NO,18.45,28.17,73.24,1736.6,1732.8,99.8,2:14,0.8,-,8.06,17.26,8.1,18.6,-2.77,0.43,4.43,2.32,-3.83,887109@1696645965,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:33:00 AM,1696645980,ChangeUp,NO,16.36,37.74,72.6,1676.2,1675.3,99.9,1:56,0.8,-,10.43,13.98,10.4,17,-2.79,0.6,4.57,2.24,-1.94,887109@1696645980,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:33:11 AM,1696645991,ChangeUp,NO,29.88,36.82,72.73,1794.2,1791.6,99.9,2:26,0.8,-,5.97,19.69,6,19.7,-2.11,1.29,4.51,2.62,-3.07,887109@1696645991,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:33:20 AM,1696646000,ChangeUp,YES,-3,27.86,73.16,1770.8,1767.7,99.8,2:12,0.7,-,8.52,16.56,8.5,18.8,-4.65,-0.13,4.43,1.75,-3.4,887109@1696646000,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:33:30 AM,1696646010,ChangeUp,NO,10.35,28.62,75.92,835.2,835,100,1:24,0.7,-,10.02,19.66,10,9.1,-3.62,0.16,4.49,2.15,-1.39,887109@1696646010,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:34:14 AM,1696646054,-,NO,-,-,63.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,887109@1696646054,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:34:33 AM,1696646073,Fastball,YES,3.01,27.17,78.73,2172.3,2172.2,100,2:00,0.7,-,10.7,17.32,10.7,18.9,-3.93,-0.9,4.25,1.67,-0.35,887109@1696646073,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:35:25 AM,1696646125,Fastball,NO,17.09,40.09,78.64,1936.1,1935.4,100,2:00,0.8,-,10.11,15.55,10.1,17.9,-2.78,0.44,4.54,2.21,-1.55,887109@1696646125,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:36:31 AM,1696646191,Fastball,NO,5.66,45.07,78.27,1828.2,1825.8,99.9,1:54,0.8,-,10.89,13.63,10.9,16.9,-3.69,0.81,4.57,1.95,2.95,887109@1696646191,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:36:48 AM,1696646208,Fastball,YES,5.27,37.48,78.38,2229.8,2227.7,99.9,2:06,0.7,-,9.94,15.79,9.9,19.5,-3.75,-0.27,4.52,1.79,2.51,887109@1696646208,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:37:30 AM,1696646250,ChangeUp,YES,5.15,23.29,72.3,1558.8,1461.1,93.7,2:30,0.8,-,4.97,16.43,5,17.9,-3.77,0.29,4.25,1.87,-20.4,887109@1696646250,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:38:01 AM,1696646281,Fastball,YES,3.58,29.52,79.96,1941,1936.3,99.8,2:06,0.9,-,9.37,18.68,9.4,18.2,-4.32,0.59,4.32,2.35,-3.99,887109@1696646281,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:38:37 AM,1696646317,Slider,YES,0.38,31.23,65.53,1756.3,762.4,43.4,10:30,0.9,-,6.76,-10.08,6.8,-7.7,-1.75,2.24,4.51,2.23,64.27,887109@1696646317,74.4,189
R,887109,Christian Wood,Sat Oct 07 2023 2:39:19 AM,1696646359,Fastball,YES,8.89,40.16,78.07,2164.2,2162.4,99.9,2:02,0.8,-,10.48,20.96,10.5,19,-4.13,1.12,4.45,2.29,2.3,887109@1696646359,74.4,189
R,909545,Ty Honda,Mon Oct 02 2023 1:24:33 AM,1696209873,ChangeUp,NO,-22.11,30.37,72.4,2130.1,1971.7,92.6,1:12,0.8,-,16.82,8.59,16.8,11.8,-6.12,-0.54,4.98,2.4,22.24,909545@1696209873,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:24:44 AM,1696209884,ChangeUp,YES,-4.45,18.95,66.22,1915.6,1754.2,91.6,2:00,0.6,-,10.63,9.27,10.6,18.1,-4.1,-2.31,4.93,1.93,-23.68,909545@1696209884,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:24:55 AM,1696209895,ChangeUp,NO,19.57,17.97,66.24,2140.8,1910.5,89.2,1:26,0.8,-,15.32,12.98,15.3,14.5,-2.46,-0.96,5,2.44,-26.82,909545@1696209895,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:25:10 AM,1696209910,CurveBall,YES,0.08,23.16,60.61,1990.7,725.7,36.5,7:34,0.9,-,-5.54,-11.49,-5.5,-7.9,-1.61,3.35,5.23,2.42,68.62,909545@1696209910,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:25:33 AM,1696209933,ChangeUp,NO,-9.91,48.88,64.87,1886.3,1779.2,94.3,0:50,0.9,1.7424201965332031,20.21,8.09,20.2,9.3,-4.73,1.97,5.57,2.92,19.39,909545@1696209933,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:26:11 AM,1696209971,Fastball,YES,-5.37,27.89,78.33,2186.5,2068.6,94.6,0:50,0.8,-,18.65,4.72,18.6,8.8,-3.71,-1.6,4.73,1.93,18.89,909545@1696209971,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:26:29 AM,1696209989,Fastball,NO,-8.52,10.21,78.75,2129.6,2091.4,98.2,0:38,0.8,-,20.15,7.21,20.2,6.9,-4.02,-3.15,4.81,2.08,10.86,909545@1696209989,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:27:20 AM,1696210040,ChangeUp,NO,26.92,56.9,62.84,403.5,312.2,77.4,11:58,0.8,-,7.26,2.12,7.3,-0.5,-0.43,4.97,5.09,2.44,39.3,909545@1696210040,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:28:04 AM,1696210084,CurveBall,NO,-7.57,15.18,56.45,1753.5,784.4,44.7,10:10,0.6,-,7.88,-5.23,7.9,-9.9,-2.43,0.29,5.4,1.47,63.43,909545@1696210084,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:28:21 AM,1696210101,Fastball,YES,-2.53,34.21,78.47,2103.6,2067.3,98.3,0:44,0.8,-,19.55,8.54,19.6,8,-3.45,-1.47,4.95,2.06,10.65,909545@1696210101,70,165
R,909545,Ty Honda,Mon Oct 02 2023 1:29:01 AM,1696210141,ChangeUp,YES,9.77,26.8,76.88,2134.6,2066,96.8,0:44,0.8,-,19.55,5.28,19.5,7.8,-2.17,-1.81,4.66,2.04,14.57,909545@1696210141,70,165
